Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Rimouski,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Bas-Saint-Laurent,Bas-Saint-Laurent,Administative Region,200000,0
Gaspé,Gaspé,La Côte-de-Gaspé,Gaspésie-Îles-de-la-Madeleine,Gaspésie-Îles-de-la-Madeleine,Gaspésie-Îles-de-la-Madeleine,Administative Region,90000,0
La Cité-Limoilou,Québec,Québec,Capitale-Nationale,La Cité-Limoilou,La Cité-Limoilou,Québec City Borough,100000,0
Les Rivières,Québec,Québec,Capitale-Nationale,Les Rivières,Les Rivières,Québec City Borough,75000,0
Sainte-Foy-Sillery-Cap-Rouge,Québec,Québec,Capitale-Nationale,Sainte-Foy-Sillery-Cap-Rouge,Sainte-Foy-Sillery-Cap-Rouge,Québec City Borough,100000,0
Charlesbourg,Québec,Québec,Capitale-Nationale,Charlesbourg,Charlesbourg,Québec City Borough,70000,0
Beauport,Québec,Québec,Capitale-Nationale,Beauport,Beauport,Québec City Borough,75000,0
La Haute-Saint-Charles,Québec,Québec,Capitale-Nationale,La Haute-Saint-Charles,La Haute-Saint-Charles,Québec City Borough,85000,0
L'Ancienne-Lorette,L'Ancienne-Lorette,Québec,Capitale-Nationale,L'Ancienne-Lorette,L'Ancienne-Lorette,Municipality,15000,0
Saint-Augustin-de-Desmaures,Saint-Augustin-de-Desmaures,Québec,Capitale-Nationale,Saint-Augustin-de-Desmaures,Saint-Augustin-de-Desmaures,Municipality,20000,0
La Malbaie,La Malbaie,Charlevoix-Est,Capitale-Nationale,"[Charlevoix,Charlevoix-Est]",Charlevoix,Regional County Municipality (RCM),30000,0
Baie-Saint-Paul,Baie-Saint-Paul,Charlevoix,Capitale-Nationale,"[Charlevoix,Charlevoix-Est]",Charlevoix,Regional County Municipality (RCM),30000,0
Sainte-Anne-de-Beaupré,Sainte-Anne-de-Beaupré,La Côte-de-Beaupré,Capitale-Nationale,"[La Côte-de-Beaupré,L'Île-d'Orléans]",La Côte-de-Beaupré & L'Île-d'Orléans,Regional County Municipality (RCM),35000,0
Lac-Beauport,Lac-Beauport,La Jacques-Cartier,Capitale-Nationale,La Jacques-Cartier,La Jacques-Cartier,Regional County Municipality (RCM),45000,0
Cap-Santé,Cap-Santé,Portneuf,Capitale-Nationale,Portneuf,Portneuf,Regional County Municipality (RCM),55000,1
Lévis,Lévis,Lévis,Chaudière-Appalaches,Lévis,Lévis,Municipality,145000,0
Saint-Jean-Port-Joli,Saint-Jean-Port-Joli,L'Islet,Chaudière-Appalaches,"[L'Islet,Montmagny]",L'Islet & Montmagny,Regional County Municipality (RCM),40000,1
Montmagny,Montmagny,Montmagny,Chaudière-Appalaches,"[L'Islet,Montmagny]",L'Islet & Montmagny,Regional County Municipality (RCM),40000,1
Saint-Henri,Saint-Henri,Bellechasse,Chaudière-Appalaches,Bellechasse,Bellechasse,Regional County Municipality (RCM),40000,0
Sainte-Marie,Sainte-Marie,La Nouvelle-Beauce,Chaudière-Appalaches,"[La Nouvelle-Beauce,Robert-Cliché,Beauce-Sartigan,Les Etchemins]",Beauce & Les Etchemins,Regional County Municipality (RCM),120000,0
Beauceville,Beauceville,Robert-Cliche,Chaudière-Appalaches,"[La Nouvelle-Beauce,Robert-Cliché,Beauce-Sartigan,Les Etchemins]",Beauce & Les Etchemins,Regional County Municipality (RCM),120000,0
Saint-Georges,Saint-Georges,Beauce-Sartigan,Chaudière-Appalaches,"[La Nouvelle-Beauce,Robert-Cliché,Beauce-Sartigan,Les Etchemins]",Beauce & Les Etchemins,Regional County Municipality (RCM),120000,0
Lac-Etchemin,Lac-Etchemin,Les Etchemins,Chaudière-Appalaches,"[La Nouvelle-Beauce,Robert-Cliché,Beauce-Sartigan,Les Etchemins]",Beauce & Les Etchemins,Regional County Municipality (RCM),120000,0
Thetford Mines,Thetford Mines,Les Appalaches,Chaudière-Appalaches,Les Appalaches,Les Appalaches,Regional County Municipality (RCM),40000,0
Saint-Apollinaire,Saint-Apollinaire,Lotbinière,Chaudière-Appalaches,Lotbinière,Lotbinière,Regional County Municipality (RCM),30000,1
Sherbrooke,Sherbrooke,Sherbrooke,Estrie,Sherbrooke,Sherbrooke,Municipality,160000,0
Windsor,Windsor,Le Val-Saint-François,Estrie,"[Le Val-Saint-François,Les Sources]",Le Val-Saint-François & Les Sources,Regional County Municipality (RCM),45000,0
Val-des-Sources,Val-des-Sources,Les Sources,Estrie,"[Le Val-Saint-François,Les Sources]",Le Val-Saint-François & Les Sources,Regional County Municipality (RCM),45000,0
Cookshire-Eaton,Cookshire-Eaton,Le Haut-Saint-François,Estrie,Le Haut-Saint-François,Le Haut-Saint-François,Regional County Municipality (RCM),20000,0
Lac-Mégantic,Lac-Mégantic,Le Granit,Estrie,Le Granit,Le Granit,Regional County Municipality (RCM),20000,0
Coaticook,Coaticook,Coaticook,Estrie,Coaticook (MRC),Coaticook,Regional County Municipality (RCM),20000,0
Magog,Magog,Memphrémagog,Estrie,Memphrémagog,Memphrémagog,Regional County Municipality (RCM),50000,0
Nicolet,Nicolet,Nicolet-Yamaska,Centre-du-Québec,"[Nicolet-Yamaska,Bécancour (MRC)]",Bécancour & Nicolet,Regional County Municipality (RCM),40000,0
