Name,Regional county municipality,Region,CMA/CA,Population(2016)[2],Population(2011)[2],Change(%)[2],Area(km²)[2],Populationdensity[2]
Acton Vale,Acton,Montérégie,,"7,656","7,664",−0.1,91.10,84.0
Alma,Lac-Saint-Jean-Est,Saguenay–Lac-Saint-Jean,Alma,"30,776","30,904",−0.4,196.54,156.6
Amos,Abitibi,Abitibi-Témiscamingue,Amos,"12,823","12,671",1.2,430.29,29.8
Amqui,La Matapédia,Bas-Saint-Laurent,,"6,178","6,322",−2.3,121.17,51.0
Baie-Comeau,Manicouagan,Côte-Nord,Baie-Comeau,"21,536","22,113",−2.6,336.59,64.0
Baie-D'Urfé,,Montréal,Montréal,"3,823","3,850",−0.7,6.03,633.9
Baie-Saint-Paul,Charlevoix,Capitale-Nationale,,"7,146","7,332",−2.5,546.48,13.1
Barkmere,Les Laurentides,Laurentides,,58,58,0.0,17.99,3.2
Beaconsfield,,Montréal,Montréal,"19,324","19,505",−0.9,11.03,"1,752.6"
Beauceville,Robert-Cliche,Chaudière-Appalaches,,"6,281","6,354",−1.1,164.55,38.2
Beauharnois,Beauharnois-Salaberry,Montérégie,Montréal,"12,884","12,011",7.3,69.31,185.9
Beaupré,La Côte-de-Beaupré,Capitale-Nationale,,"3,752","3,439",9.1,22.96,163.4
Bécancour,Bécancour,Centre-du-Québec,Trois-Rivières,"13,031","12,438",4.8,440.68,29.6
Bedford,Brome-Missisquoi,Montérégie,,"2,560","2,684",−4.6,4.25,602.8
Belleterre,Témiscamingue,Abitibi-Témiscamingue,,313,298,5.0,551.02,0.6
Beloeil,La Vallée-du-Richelieu,Montérégie,Montréal,"22,458","20,783",8.1,24.40,920.2
Berthierville,D'Autray,Lanaudière,,"4,189","4,091",2.4,6.89,607.9
Blainville,Thérèse-De Blainville,Laurentides,Montréal,"56,863","53,510",6.3,55.16,"1,030.9"
Boisbriand,Thérèse-De Blainville,Laurentides,Montréal,"26,884","26,816",0.3,27.82,966.5
Bois-des-Filion,Thérèse-De Blainville,Laurentides,Montréal,"9,636","9,485",1.6,4.39,"2,193.3"
Bonaventure,Bonaventure,Gaspésie–Îles-de-la-Madeleine,,"2,706","2,775",−2.5,104.35,25.9
Boucherville,,Montérégie,Montréal,"41,671","40,753",2.3,70.50,591.1
Lac-Brome,Brome-Missisquoi,Montérégie,,"5,495","5,609",−2.0,207.29,26.5
Bromont,Brome-Missisquoi,Montérégie,Granby,"9,041","7,649",18.2,114.13,79.2
Brossard,,Montérégie,Montréal,"85,721","79,273",8.1,45.23,"1,895.4"
Brownsburg-Chatham,Argenteuil,Laurentides,,"7,122","7,209",−1.2,247.40,28.8
Candiac,Roussillon,Montérégie,Montréal,"21,047","19,876",5.9,17.31,"1,215.8"
Cap-Chat,La Haute-Gaspésie,Gaspésie–Îles-de-la-Madeleine,,"2,476","2,623",−5.6,182.05,13.6
Cap-Santé,Portneuf,Capitale-Nationale,,"3,400","2,996",13.5,54.53,62.3
Carignan,La Vallée-du-Richelieu,Montérégie,Montréal,"9,462","7,966",18.8,62.27,151.9
Carleton-sur-Mer,Avignon,Gaspésie–Îles-de-la-Madeleine,,"4,073","3,991",2.1,221.42,18.4
Causapscal,La Matapédia,Bas-Saint-Laurent,,"2,304","2,458",−6.3,161.60,14.3
Chambly,La Vallée-du-Richelieu,Montérégie,Montréal,"29,120","25,571",13.9,25.13,"1,158.7"
Chandler,Le Rocher-Percé,Gaspésie–Îles-de-la-Madeleine,,"7,546","7,703",−2.0,419.34,18.0
Chapais,,Nord-du-Québec,,"1,499","1,610",−6.9,63.71,23.5
Charlemagne,L'Assomption,Lanaudière,Montréal,"5,913","5,853",1.0,2.19,"2,706.2"
Châteauguay,Roussillon,Montérégie,Montréal,"47,906","45,904",4.4,35.95,"1,332.7"
Château-Richer,La Côte-de-Beaupré,Capitale-Nationale,Québec,"4,126","3,834",7.6,229.55,18.0
Chibougamau,,Nord-du-Québec,,"7,504","7,541",−0.5,698.13,10.7
Clermont,Charlevoix-Est,Capitale-Nationale,,"3,085","3,118",−1.1,51.59,59.8
Coaticook,Coaticook,Estrie,,"8,698","9,255",−6.0,219.51,39.6
Contrecoeur,Marguerite-D'Youville,Montérégie,Sorel-Tracy,"7,887","6,252",26.2,61.51,128.2
Cookshire-Eaton,Le Haut-Saint-François,Estrie,,"5,393","5,171",4.3,296.38,18.2
Côte Saint-Luc,,Montréal,Montréal,"32,448","32,321",0.4,6.96,"4,662.5"
Coteau-du-Lac,Vaudreuil-Soulanges,Montérégie,Montréal,"7,044","6,842",3.0,46.89,150.2
Cowansville,Brome-Missisquoi,Montérégie,Cowansville,"13,656","12,489",9.3,46.89,291.2
Danville,Les Sources,Estrie,,"3,826","4,070",−6.0,151.98,25.2
Daveluyville,Arthabaska,Centre-du-Québec,,965,966,−0.1,2.23,432.1
Dégelis,Témiscouata,Bas-Saint-Laurent,,"2,863","3,051",−6.2,557.05,5.1
Delson,Roussillon,Montérégie,Montréal,"7,457","7,462",−0.1,7.63,977.7
Desbiens,Lac-Saint-Jean-Est,Saguenay–Lac-Saint-Jean,,"1,028","1,053",−2.4,10.40,98.9
Deux-Montagnes,Deux-Montagnes,Laurentides,Montréal,"17,496","17,552",−0.3,6.09,"2,873.8"
Disraeli,Les Appalaches,Chaudière-Appalaches,,"2,336","2,502",−6.6,6.79,343.8
