Rank,Name,Size group[2],Population (2016)[2],Population (2011)[2],% Change[2]
1,Montreal,Large urban,"3,519,595","3,387,653",+3.9%
2,Ottawa - Gatineau (QC/ON),Large urban,"989,567","945,592",+4.7%
3,Quebec City,Large urban,"705,103","681,804",+3.4%
4,Sherbrooke,Large urban,"139,565","133,673",+4.4%
5,Trois-Rivières,Large urban,"114,203","112,626",+1.4%
6,Chicoutimi - Jonquière,Large urban,"104,222","104,589",-0.4%
7,Saint-Jean-sur-Richelieu,Medium,"84,685","81,802",+3.5%
8,Saint-Jérôme,Medium,"77,146","69,598",+10.8%
9,Châteauguay,Medium,"71,164","66,445",+7.1%
10,Drummondville,Medium,"68,601","65,341",+5.0%
11,Granby,Medium,"59,691","57,351",+4.1%
12,Beloeil,Medium,"50,845","48,688",+4.4%
13,Saint-Hyacinthe,Medium,"50,032","47,289",+5.8%
14,Joliette,Medium,"45,508","42,850",+6.2%
15,Victoriaville,Medium,"44,735","41,925",+6.7%
16,Salaberry-de-Valleyfield,Medium,"39,048","38,323",+1.9%
17,Shawinigan,Medium,"38,211","39,427",-3.1%
18,Rimouski,Medium,"36,942","35,437",+4.2%
19,Sorel,Medium,"36,088","35,770",+0.9%
20,Saint-Georges,Small,"26,921","24,940",+7.9%
21,Val-d'Or,Small,"25,541","25,023",+2.1%
22,Rouyn-Noranda,Small,"23,504","23,137",+1.6%
23,Sept-Îles,Small,"22,218","23,028",-3.5%
24,Hudson,Small,"21,419","20,648",+3.7%
25,Alma,Small,"21,406","19,965",+7.2%
26,Magog,Small,"20,830","19,997",+4.2%
27,Varennes,Small,"20,575","20,300",+1.4%
28,Rivière-du-Loup,Small,"17,973","17,747",+1.3%
29,Les Coteaux,Small,"17,396","15,694",+10.8%
30,Buckingham,Small,"16,685","15,685",+6.4%
31,Thetford Mines,Small,"16,174","16,440",-1.6%
32,L'Assomption,Small,"15,906","15,154",+5.0%
33,Port-Alfred-Bagotville,Small,"13,865","13,817",+0.3%
34,Laurentides,Small,"12,710","9,834",+29.2%
35,Cowansville,Small,"11,809","10,947",+7.9%
36,Hawkesbury (QC/ON),Small,"11,715","11,894",-1.5%
37,Hauterive,Small,"11,549","11,844",-2.5%
38,Dolbeau,Small,"11,388","11,476",-0.8%
39,Sainte-Agathe-des-Monts -Val-David,Small,"11,108","10,567",+5.1%
40,Sainte-Marie,Small,"11,083","10,409",+6.5%
41,Sainte-Anne-des-Plaines,Small,"10,865","10,917",-0.5%
42,Matane,Small,"10,787","10,890",-0.9%
43,Lavaltrie,Small,"10,767","10,380",+3.7%
44,Campbellton (QC/NB),Small,"10,716","11,990",-10.6%
45,Saint-Canut,Small,"10,643","9,118",+16.7%
46,Lachute,Small,"10,082","10,121",-0.4%
47,Amos,Small,"10,005","9,862",+1.5%
48,Baie-Comeau,Small,"9,610","9,917",-3.1%
49,Saint-Amable,Small,"9,486","8,295",+14.4%
50,Saint-Augustin,Small,"9,399","7,457",+26.0%
51,Montmagny,Small,"9,041","9,191",-1.6%
52,Marieville,Small,"8,891","8,238",+7.9%
53,Donnacona,Small,"8,418","7,328",+14.9%
54,Roberval,Small,"8,204","8,540",-3.9%
55,Saint-Sauveur-des-Monts,Small,"7,849","7,599",+3.3%
56,La Tuque,Small,"7,751","8,062",-3.9%
57,Mont-Laurier,Small,"7,644","7,569",+1.0%
58,L'Épiphanie,Small,"7,225","7,090",+1.9%
59,Plessisville,Small,"7,195","7,309",-1.6%
60,Pointe-du-lac,Small,"7,104","6,404",+10.9%
61,Saint-Félicien,Small,"7,096","7,111",-0.2%
62,Angers,Small,"6,973","6,625",+5.3%
63,Saint-Rémi,Small,"6,891","5,535",+24.5%
64,Chibougamau,Small,"6,862","6,948",-1.2%
65,Farnham,Small,"6,731","6,275",+7.3%
66,Coaticook,Small,"6,524","6,780",-3.8%
